Gene stable ID	HGNC symbol	HGNC ID
ENSG00000222301	RNY5P8	34089
ENSG00000266816		
ENSG00000252928	RNU6-64P	42554
ENSG00000250878	METTL21EP	41948
ENSG00000215049	PRDX2P1	30020
ENSG00000272542		
ENSG00000236463	LINC00427	42762
ENSG00000234551		
ENSG00000230474	ATP6V1G1P7	39852
ENSG00000225823	RPL7P45	35522
ENSG00000232307	DAOA-AS1	30243
ENSG00000238121	LINC00426	42761
ENSG00000226620	LINC00343	42500
ENSG00000225039	LINC01058	49061
ENSG00000261577	JUP	6207
ENSG00000252550		
ENSG00000236444	UBE2L5P	13477
ENSG00000222643		
ENSG00000222682	RNA5SP38	42614
ENSG00000213411	RBM22P2	39695
ENSG00000233532	LINC00460	42809
ENSG00000232489	MFAP1P1	39694
ENSG00000174418	RPL35P9	39402
ENSG00000224117	PTPN2P2	9654
ENSG00000272274	LINC00551	43691
ENSG00000230156	LINC00443	42780
ENSG00000237879	LINC00398	42727
ENSG00000227590	ATP5G1P5	39508
ENSG00000174408	PPIAP24	39269
ENSG00000224743	TEX26-AS1	42784
ENSG00000196777		
ENSG00000239050		
ENSG00000221316		
ENSG00000201847		
ENSG00000221650	MIR1267	35335
ENSG00000221473		
ENSG00000227248	FAM155A-IT1	41503
ENSG00000223177	RNA5SP39	42615
ENSG00000232087	HCFC2P1	39815
ENSG00000229938	MYO16-AS2	39914
ENSG00000236094	LINC00545	43680
ENSG00000236242	MYO16-AS1	39913
ENSG00000238185		
ENSG00000223617	LINC00370	42692
ENSG00000230233		
ENSG00000230403	LINC01066	49104
ENSG00000236053	LINC01067	49105
ENSG00000261163		
ENSG00000265841	MIR548X	38248
ENSG00000231894	WDR95P	42637
ENSG00000229792	LINC00399	42728
ENSG00000221041		
ENSG00000234854	LINC00676	44394
ENSG00000198618	PPIAP22	17236
ENSG00000229427	ANKRD26P4	39690
ENSG00000255813		
ENSG00000201161	RN7SKP10	42628
ENSG00000231428	LINC00396	42724
ENSG00000232193		
ENSG00000229715	EEF1DP3	30486
ENSG00000226204		
ENSG00000265885	RN7SL783P	46799
ENSG00000238629		
ENSG00000235965		
ENSG00000224821	COL4A2-AS2	39849
ENSG00000235822	LINC01073	49114
ENSG00000229289		
ENSG00000237637	FRY-AS1	39725
ENSG00000232814	COL4A2-AS1	40156
ENSG00000226818	SLC6A6P1	11053
ENSG00000230633		
ENSG00000255831		
ENSG00000231620		
ENSG00000215515	IFIT1P1	5408
ENSG00000225239	RPL21P107	36313
ENSG00000212609	RNU1-139P	48481
ENSG00000259831	LINC00567	43711
ENSG00000212293		
ENSG00000230198	RPL37P4	17239
ENSG00000270008		
ENSG00000229152	ANKRD10-IT1	39891
ENSG00000271486		
ENSG00000229336		
ENSG00000229800	ATP8A2P2	39663
ENSG00000227105	PARP1P1	275
ENSG00000215353	C1QBPP	1244
ENSG00000233480		
ENSG00000225760	LINC00431	42766
ENSG00000233236		
ENSG00000225870	LINC00368	42690
ENSG00000251851	RNU6-772P	47735
ENSG00000252963	RN7SKP147	45871
ENSG00000235875	ARHGEF7-AS2	40717
ENSG00000207325	RNY1P4	42481
ENSG00000233676	FDPSP6	3637
ENSG00000226968	LINC00423	42758
ENSG00000233644	ARHGEF7-IT1	41408
ENSG00000234439	KRT18P2	6435
ENSG00000227352	ARHGEF7-AS1	39816
ENSG00000227604	TOMM22P3	38739
ENSG00000233206	RPS3AP1	10422
ENSG00000221677		
ENSG00000215881		
ENSG00000230300	STARD13-IT1	41453
ENSG00000261258	FKBP10	18169
ENSG00000226903	LINC00354	42672
ENSG00000224924	LINC00320	19690
ENSG00000264989		
ENSG00000200072		
ENSG00000260385		
ENSG00000229520	LINC00404	42734
ENSG00000215351	PPIAP1	9254
ENSG00000224243	LINC00403	42733
ENSG00000226771		
ENSG00000260102	LINC01070	49110
ENSG00000221210		
ENSG00000234730		
ENSG00000260343	LINC01043	49031
ENSG00000198434		
ENSG00000223626	LINC01044	49032
ENSG00000237527		
ENSG00000264726		
ENSG00000232684	ATP11A-AS1	40645
ENSG00000238265	LINC00317	23126
ENSG00000234603		
ENSG00000236581	STARD13-AS	40873
ENSG00000267868		
ENSG00000188403	IGHV1OR15-9	5569
ENSG00000235280	MCF2L-AS1	39825
ENSG00000269356		
ENSG00000233997		
ENSG00000269376		
ENSG00000231882	F10-AS1	40225
ENSG00000230371	KARSP2	39208
ENSG00000259490	IGHV3OR15-7	5633
ENSG00000269125		
ENSG00000227075		
ENSG00000232662	LDHBP1	6542
ENSG00000270961	IGHD5OR15-5A	5512
ENSG00000225083	GRTP1-AS1	39917
ENSG00000233215		
ENSG00000233613	DCUN1D2-AS	39889
ENSG00000271317	IGHD4OR15-4A	5506
ENSG00000202347	RNU1-16P	39890
ENSG00000227208	LINC00552	43692
ENSG00000270783	IGHD3OR15-3A	5500
ENSG00000233695	GAS6-AS1	39826
ENSG00000271197	IGHD2OR15-2A	5493
ENSG00000272695	GAS6-AS2	43694
ENSG00000184856	LINC00308	16023
ENSG00000227911		
ENSG00000237699		
ENSG00000271336	IGHD1OR15-1A	5487
ENSG00000264288		
ENSG00000265259	RN7SL247P	46263
ENSG00000260753	NT5C3B	28300
ENSG00000234340		
ENSG00000230490		
ENSG00000212051	MIR320C2	35387
ENSG00000226921	LINC00454	42802
ENSG00000264365		
ENSG00000273321		
ENSG00000234535		
ENSG00000232986		
ENSG00000199636		
ENSG00000265094		
ENSG00000252397	RNU5A-4P	42521
ENSG00000263663		
ENSG00000227254	VDAC1P12	39680
ENSG00000229373	LINC00452	42800
ENSG00000199196		
ENSG00000215405	GOLGA6L6	37225
ENSG00000271850		
ENSG00000225179	LINC00457	42805
ENSG00000231136		
ENSG00000260910	LINC00565	43709
ENSG00000271901		
ENSG00000202339	RNU4-45P	46981
ENSG00000232487	RASA3-IT1	39938
ENSG00000226043		
ENSG00000231910	GAMTP2	37697
ENSG00000264539	MIR548AR	43455
ENSG00000261728		
ENSG00000223488	MAPK6PS2	16756
ENSG00000265450	MIR4502	41534
ENSG00000232795	SCAND3P1	42037
ENSG00000226158	CLCP2	42536
ENSG00000234835	PHBP13	39292
ENSG00000229723	LINC01054	49048
ENSG00000268343		
ENSG00000221519		
ENSG00000236036	LINC00445	42782
ENSG00000207203	RNU6-71P	42561
ENSG00000169861	IGHV1OR21-1	38040
ENSG00000266047		
ENSG00000223383	HIST1H2APS6	42647
ENSG00000222602		
ENSG00000235306	GAPDHP34	37786
ENSG00000223543	TCEAL4P1	39582
ENSG00000215486	ARL2BPP3	39447
ENSG00000261631	KLHL10	18829
ENSG00000230031	POTEB2	48327
ENSG00000271337	NDE1P2	49116
ENSG00000236711	SMAD9-AS1	39963
ENSG00000228825	LAMTOR3P1	39726
ENSG00000232378	RPL29P28	36842
ENSG00000226161	EIF4A1P5	37924
ENSG00000221100		
ENSG00000202395	RN7SKP1	42619
ENSG00000230283	RPS12P24	35561
ENSG00000234034		
ENSG00000230390	LINC01048	49042
ENSG00000263796	RN7SL609P	46625
ENSG00000199276	RNA5SP26	42602
ENSG00000225906		
ENSG00000228036	HSPD1P9	35132
ENSG00000230972		
ENSG00000259896	KLHL11	19008
ENSG00000223685	LINC00571	43721
ENSG00000219368	ZNF299P	13088
ENSG00000236354	LINC00437	42772
ENSG00000231058	MSANTD2P1	39637
ENSG00000229437	LINC00366	42688
ENSG00000223078	RNU2-55P	48548
ENSG00000234701	PRDX3P3	39266
ENSG00000228592		
ENSG00000252795	RNU6-56P	42546
ENSG00000212049		
ENSG00000270824	IGHD5OR15-5B	5513
ENSG00000225350	FREM2-AS1	39964
ENSG00000225221	PLA2G12AP2	39249
ENSG00000270451	IGHD4OR15-4B	5507
ENSG00000235550	ANKRD26P2	39687
ENSG00000223822	EEF1A1P1	3191
ENSG00000271255	IGHD3OR15-3B	5501
ENSG00000214823	NXT1P1	39708
ENSG00000271305	IGHD2OR15-2B	5494
ENSG00000238408		
ENSG00000216014		
ENSG00000264171	MIR4305	38301
ENSG00000237569	TUBAP	12411
ENSG00000200526	RNY4P14	34064
ENSG00000224351	CDKN2AIPNLP3	39853
ENSG00000138593	SECISBP2L	28997
ENSG00000270444	AZU1P1	49098
ENSG00000212553		
ENSG00000270185	IGHD1OR15-1B	5488
ENSG00000230710	LINC00332	42049
ENSG00000271429	RPL17P51	49100
ENSG00000207458	RNY3P9	42493
ENSG00000268531		
ENSG00000230058		
ENSG00000252812	RN7SKP2	42620
ENSG00000215483	LINC00598	42770
ENSG00000229456	RLIMP1	39682
ENSG00000211491	MIR320D1	35386
ENSG00000207652	MIR621	32877
ENSG00000168852	TPTE2P5	42356
ENSG00000233917	POTEB	33734
ENSG00000166157	TPTE	12023
ENSG00000260245	ACLY	115
ENSG00000176268	CYCSP34	24408
ENSG00000239827	SUGT1P3	20513
ENSG00000229473	RGS17P1	39729
ENSG00000264226	MIR3168	38249
ENSG00000199698		
ENSG00000244264	RN7SL597P	46613
ENSG00000227716		
ENSG00000215482	CALM2P3	1448
ENSG00000231986		
ENSG00000238651		
ENSG00000225133	MORF4L1P4	39257
ENSG00000235564		
ENSG00000231404	RAC1P3	31833
ENSG00000226996		
ENSG00000264695		
ENSG00000223280	RNU6-57P	42547
ENSG00000224018		
ENSG00000266489		
ENSG00000214222	TUBBP2	12415
ENSG00000224832		
ENSG00000266181		
ENSG00000205240	OR7E36P	8409
ENSG00000237484		
ENSG00000265485		
ENSG00000234655	OR7E155P	31310
ENSG00000263553		
ENSG00000266520	RAC1P1	31001
ENSG00000215480	OR7E37P	8410
ENSG00000266809		
ENSG00000263907		
ENSG00000266573		
ENSG00000263928		
ENSG00000264042		
ENSG00000264190	MIR5006	43495
ENSG00000241406	RN7SL515P	46531
ENSG00000206962	RNU6-74P	42564
ENSG00000264345		
ENSG00000229696	KARSP1	39207
ENSG00000229248	WBP2P1	31695
ENSG00000226093	RPS28P8	36938
ENSG00000231530		
ENSG00000265552		
ENSG00000237263	MAPK6PS3	18977
ENSG00000264434		
ENSG00000265679		
ENSG00000242216	RN7SL97P	46113
ENSG00000270809	CHCHD2P11	49029
ENSG00000264193		
ENSG00000234213	FHP1	39442
ENSG00000243925	RPS24P18	36745
ENSG00000260703	TTC25	25280
ENSG00000233259	FABP3P2	3558
ENSG00000188985	DHFRP1	2862
ENSG00000271216	LINC01050	49044
ENSG00000229546	LINC00428	42763
ENSG00000266227	NPM1P2	7922
ENSG00000238025	ZDHHC4P1	39443
ENSG00000256715		
ENSG00000263829	FAM60BP	19052
ENSG00000229928	LINC00400	42729
ENSG00000232540	RPL36P19	42648
ENSG00000266237		
ENSG00000238189	ENOX1-AS2	42397
ENSG00000252921		
ENSG00000233821	ENOX1-AS1	42396
ENSG00000264911		
ENSG00000270522		
ENSG00000207160	RNU6-1289P	48252
ENSG00000263862		
ENSG00000166351	POTED	23822
ENSG00000252846		
ENSG00000233725	LINC00284	26981
ENSG00000263846	CIAPIN1P	31087
ENSG00000260283	CNP	2158
ENSG00000269011		
ENSG00000260372	AQP4-AS1	26399
ENSG00000179611	DGKZP1	39263
ENSG00000168675	LDLRAD4	1224
ENSG00000226519	LINC00390	42718
ENSG00000227258	SMIM2-AS1	42674
ENSG00000265369		
ENSG00000235285	SMIM2-IT1	41492
ENSG00000263677		
ENSG00000230731		
ENSG00000263382		
ENSG00000237361	LINC01071	49111
ENSG00000266184		
ENSG00000266549		
ENSG00000225727		
ENSG00000265374		
ENSG00000262684	DNAJC7	12392
ENSG00000230793	SMARCE1P5	39734
ENSG00000188992	LIPI	18821
ENSG00000238932		
ENSG00000237585	LINC00407	42739
ENSG00000235097	LINC00330	42047
ENSG00000223732		
ENSG00000265802	RN7SL49P	46065
ENSG00000223341	RN7SKP3	42621
ENSG00000271818		
ENSG00000252055	RNU6-69P	42559
ENSG00000270381		
ENSG00000221163		
ENSG00000253051		
ENSG00000199477	SNORA31	32621
ENSG00000273149		
ENSG00000185272	RBM11	9897
ENSG00000182974	OR4M2	15373
ENSG00000226983		
ENSG00000260770	NKIRAS2	17898
ENSG00000183706	OR4N4	15375
ENSG00000170919	TPT1-AS1	43686
ENSG00000227090		
ENSG00000230379		
ENSG00000270505	IGHV1OR15-1	5563
ENSG00000269182		
ENSG00000259261	IGHV4OR15-8	5658
ENSG00000237444		
ENSG00000244278		
ENSG00000155304	HSPA13	11375
ENSG00000260320	ZNF385C	33722
ENSG00000228886		
ENSG00000214455	RCN1P2	39204
ENSG00000251015	SLC25A30-AS1	42795
ENSG00000229303	PPIAP25	39270
ENSG00000200709	RNA5SP27	42603
ENSG00000197414	GOLGA6L1	37444
ENSG00000232786	TIMM9P3	39930
ENSG00000228869	COX4I1P2	38036
ENSG00000235366	LINC01055	49049
ENSG00000232512		
ENSG00000237876	AKR1B1P4	423
ENSG00000260178	DHX58	29517
ENSG00000223870		
ENSG00000235903	CPB2-AS1	39898
ENSG00000222042		
ENSG00000238627	RNA5SP489	43389
ENSG00000240767	RN7SL288P	46304
ENSG00000238483		
ENSG00000252854	RN7SKP5	42623
ENSG00000251106	FAM206BP	39851
ENSG00000261097	LINC00563	43707
ENSG00000223336	RNU2-6P	42506
ENSG00000252385	RNU6-68P	42558
ENSG00000166200	COPS2	30747
ENSG00000155307	SAMSN1	10528
ENSG00000241353	PPP1R2P4	16319
ENSG00000259958	KAT2A	4201
ENSG00000243440		
ENSG00000231817		
ENSG00000227019	OR7E101P	15342
ENSG00000205105	COX17P1	24341
ENSG00000260325	HSPB9	30589
ENSG00000230243	FKBP1AP3	3716
ENSG00000224517	HTR2A-AS1	40289
ENSG00000234590	GNG5P5	33554
ENSG00000244521	RN7SL700P	46716
ENSG00000234145	NAP1L4P3	39738
ENSG00000229423	RPL27AP8	36544
ENSG00000261378	RAB5C	9785
ENSG00000228573		
ENSG00000153575	TUBGCP5	18600
ENSG00000234689	LINC00444	42781
ENSG00000260388	LINC00562	43706
ENSG00000227848	SUCLA2-AS1	39965
ENSG00000263172		
ENSG00000229111	MED4-AS1	39213
ENSG00000262688		
ENSG00000266571		
ENSG00000224510	POLR2KP2	42652
ENSG00000260752		
ENSG00000231473	LINC00441	42778
ENSG00000264151		
ENSG00000238086	PPP1R26P1	42015
ENSG00000177197	PCNPP5	41977
ENSG00000233456	LINC01077	49120
ENSG00000180530	NRIP1	8001
ENSG00000233610	LINC00462	42811
ENSG00000264790		
ENSG00000222391		
ENSG00000225131	PSME2P2	30160
ENSG00000244329	UBA52P9	36169
ENSG00000265585		
ENSG00000201662	RNU6-60P	42550
ENSG00000263611		
ENSG00000223724	RAD17P2	9809
ENSG00000265097	RBM22P1	31466
ENSG00000199788	RNY3P2	42486
ENSG00000235957	COX7CP1	2293
ENSG00000263405	PA2G4P3	31731
ENSG00000231665	OGFOD1P1	39202
ENSG00000227279		
ENSG00000236577	SNRPGP14	42039
ENSG00000137824	RMDN3	25550
ENSG00000266296	ARIH2P1	31732
ENSG00000176882		
ENSG00000261371	PECAM1	8823
ENSG00000265994		
ENSG00000203547		
ENSG00000271238		
ENSG00000222148	RNY4P30	42498
ENSG00000181358	CTAGE10P	37288
ENSG00000251719	RNU6-408P	47371
ENSG00000265730		
ENSG00000200064	RNY4P9	34058
ENSG00000212085		
ENSG00000264526		
ENSG00000264864	MIR3613	38964
ENSG00000266479		
ENSG00000259458		
ENSG00000265980		
ENSG00000221731		
ENSG00000264587		
ENSG00000266196		
ENSG00000265670		
ENSG00000251702	RNU6-857P	47820
ENSG00000261521		
ENSG00000231607	DLEU2	13748
ENSG00000238376		
ENSG00000238660		
ENSG00000265888		
ENSG00000213885	RPL13AP7	23755
ENSG00000263698		
ENSG00000185433	LINC00158	1283
ENSG00000266729		
ENSG00000238314		
ENSG00000229962		
ENSG00000208006	MIR16-1	31545
ENSG00000207019	RNU6-167P	47130
ENSG00000214359	RPL18P10	35957
ENSG00000234883	MIR155HG	35460
ENSG00000207240		
ENSG00000266521		
ENSG00000232150	ST13P4	18487
ENSG00000260583	LINC00515	16019
ENSG00000264859		
ENSG00000237731	RNGTTP1	39652
ENSG00000223676	RPL34P26	36100
ENSG00000227054	FDX1P2	3641
ENSG00000263304	MILR1	27570
ENSG00000252379	RNU6-1002P	47965
ENSG00000221198		
ENSG00000235514		
ENSG00000229323		
ENSG00000259985		
ENSG00000200472	RN7SKP44	45768
ENSG00000137880	GCHFR	4194
ENSG00000265158	LRRC37A7P	43792
ENSG00000233783		
ENSG00000263772		
ENSG00000237152	DLEU7-AS1	39966
ENSG00000251972	RNU6-123P	47086
ENSG00000263924		
ENSG00000200711	RNA5SP28	42604
ENSG00000224541		
ENSG00000270518		
ENSG00000270879		
ENSG00000273492		
ENSG00000222320	RNU6-1050P	48013
ENSG00000233672	RNASEH2B-AS1	39967
ENSG00000263823		
ENSG00000206802	RNU6-926P	47889
ENSG00000265273	PGDP1	8892
ENSG00000229025		
ENSG00000266105		
ENSG00000232692		
ENSG00000263917		
ENSG00000265063		
ENSG00000214917		
ENSG00000265008		
ENSG00000238982		
ENSG00000262917	POLG2	9180
ENSG00000263393		
ENSG00000199373	RNA5SP453	43353
ENSG00000265279		
ENSG00000263904		
ENSG00000222395		
ENSG00000264982		
ENSG00000215492	HNRNPA1P7	31015
ENSG00000260389	WBP11P1	26250
ENSG00000104129	DNAJC17	25556
ENSG00000221621		
ENSG00000177150	FAM210A	28346
ENSG00000263688		
ENSG00000123201	GUCY1B2	4686
ENSG00000155313	USP25	12624
ENSG00000197934		
ENSG00000273115		
ENSG00000223563		
ENSG00000266133	MIR4759	41575
ENSG00000215326	GPX1P2	4561
ENSG00000231236		
ENSG00000236332		
ENSG00000222920	RNA5SP29	42605
ENSG00000226792	LINC00371	42693
ENSG00000214878	RPL5P31	42036
ENSG00000271242	SLMO2P2	49064
ENSG00000263077	DDX5	2746
ENSG00000266072	MIR5693	43499
ENSG00000269965		
ENSG00000270101		
ENSG00000101638	ST8SIA5	17827
ENSG00000236778	INTS6-AS1	42691
ENSG00000232560	C21orf37	1277
ENSG00000265146	MIR4752	41803
ENSG00000262931		
ENSG00000224892	RPS4XP16	36365
ENSG00000243900	RN7SL320P	46336
ENSG00000229906	SNRPGP11	39330
ENSG00000266611	MIR4703	41817
ENSG00000263046	CEP95	25141
ENSG00000252141	RNU6-65P	42555
ENSG00000206920	RNY1P6	42483
ENSG00000242893	RN7SL413P	46429
ENSG00000224451	ATP5F1P1	39742
ENSG00000231856		
ENSG00000232872	CTAGE3P	24348
ENSG00000236044	FABP5P2	31060
ENSG00000261138		
ENSG00000217576		
ENSG00000239823		
ENSG00000265031		
ENSG00000266804		
ENSG00000261387		
ENSG00000265387	MIR3064	41652
ENSG00000154639	CXADR	2559
ENSG00000265492	MIR5047	41834
ENSG00000263516		
ENSG00000243406	MRPS31P5	39253
ENSG00000101654	RNMT	10075
ENSG00000261074	QSOX2	30249
ENSG00000078043	PIAS2	17311
ENSG00000272281	TPTE2P2	38076
ENSG00000156958	GALK2	4119
ENSG00000260220		
ENSG00000266342		
ENSG00000154640	BTG3	1132
ENSG00000233300	EIF4A1P1	3283
ENSG00000271236	SUMO2P15	49353
ENSG00000217026	RPL10P1	10300
ENSG00000219592	NCSTNP1	39606
ENSG00000234052		
ENSG00000261183		
ENSG00000188277	C15orf62	34489
ENSG00000249139	EPPIN-WFDC6	38825
ENSG00000225298	LINC00113	1264
ENSG00000264256		
ENSG00000260587	DOCK3	2989
ENSG00000251161		
ENSG00000234083		
ENSG00000259405	ISCA1P4	38025
ENSG00000178457	LINC00314	16622
ENSG00000259617		
ENSG00000259463		
ENSG00000232079		
ENSG00000259521		
ENSG00000259880	MANF	15461
ENSG00000259547	CYCSP2	24410
ENSG00000158901	WFDC8	16163
ENSG00000140416	TPM1	12010
ENSG00000157021	FAM92A1P1	32278
ENSG00000240847	RN7SL497P	46513
ENSG00000259956	RBM15B	24303
ENSG00000180205	WFDC9	20380
ENSG00000154642	C21orf91	16459
ENSG00000247556	OIP5-AS1	43563
ENSG00000260383	MROH1	26958
ENSG00000243355		
ENSG00000263765		
ENSG00000263450		
ENSG00000267642		
ENSG00000199204		
ENSG00000267746		
ENSG00000267585		
ENSG00000268873		
ENSG00000221409		
ENSG00000268573		
ENSG00000257267	ZNF271	13065
ENSG00000239683		
ENSG00000267583		
ENSG00000266965		
ENSG00000267397		
ENSG00000140577	CRTC3	26148
ENSG00000267797	NRBF2P1	44604
ENSG00000207797	MIR187	31558
ENSG00000261236	BOP1	15519
ENSG00000265641	MIR3929	38945
ENSG00000166140	ZFYVE19	20758
